Application/Permit Number,Permit Type,Address,Category,Action Type,Work Type,Value,Application Date,Issue Date,Final Date,Expiration Date,Status,Master Use Permit,Latitude,Longitude
6324549,Construction,601 UNION ST,COMMERCIAL,ALTER,Plan Review,40500,6/19/12,7/6/12,9/13/12,1/6/14,Permit Closed,,47.610431,-122.3320769
6324900,Construction,1201 3RD AVE,COMMERCIAL,ALTER,Plan Review,119000,6/22/12,7/6/12,8/23/12,1/6/14,Permit Closed,,47.60723772,-122.3361213
6323901,Construction,1730 MINOR AVE,COMMERCIAL,ALTER,Plan Review,20000,6/13/12,7/6/12,8/16/12,1/6/14,Permit Closed,,47.61695645,-122.3296664
6326434,Demolition,4521 8TH AVE NE,COMMERCIAL,DEMOLITION,No plan review,1,7/6/12,7/6/12,9/5/12,1/6/14,Permit Closed,,47.66194815,-122.3198495
6284231,Construction,62 CEDAR ST,COMMERCIAL,NEW,Plan Review,22082687,1/11/12,7/6/12,10/22/13,1/6/14,Permit Closed,3009932,47.61470244,-122.3523968
6320711,Construction,3701 S NORFOLK ST,COMMERCIAL,ADD/ALT,Plan Review,47519,5/30/12,7/9/12,8/20/12,1/9/14,Permit Closed,,47.51304726,-122.2839559
6322425,Construction,705 5TH AVE S,COMMERCIAL,ALTER,Plan Review,35000,5/31/12,7/9/12,12/4/12,1/9/14,Permit Closed,,47.59634748,-122.3280847
6308986,Construction,3015 E MADISON ST,COMMERCIAL,NEW,Plan Review,237079,5/4/12,7/9/12,12/24/12,1/9/14,Permit Closed,3013126,47.62553771,-122.2927475
6326778,Construction,2622 CALIFORNIA AVE SW,COMMERCIAL,ADD/ALT,No plan review,25000,7/10/12,7/10/12,12/18/12,1/10/14,Permit Closed,,47.57984915,-122.3857842
6324229,Construction,1950 6TH AVE S,COMMERCIAL,ADD/ALT,Plan Review,35000,6/22/12,7/10/12,10/18/12,1/10/14,Permit Closed,,47.58553216,-122.3251215
6324079,Construction,9432 16TH AVE SW,COMMERCIAL,ADD/ALT,Plan Review,80000,6/14/12,7/10/12,11/20/12,1/10/14,Permit Closed,,47.51815483,-122.3548264
6319140,Construction,1700 WESTLAKE AVE N,COMMERCIAL,ADD/ALT,Plan Review,60000,5/29/12,7/10/12,7/18/13,1/10/14,Permit Closed,,47.63376599,-122.339698
6305537,Construction,1215 SENECA ST,COMMERCIAL,ADD/ALT,Plan Review,12000,4/11/12,7/10/12,9/17/12,1/10/14,Permit Closed,3011498,47.6113664,-122.3245532
6313959,Construction,308 4TH AVE S,COMMERCIAL,ADD/ALT,Plan Review,800000,4/3/12,7/10/12,11/22/13,1/10/14,Permit Closed,,47.59982559,-122.3285187
6312175,Construction,308 4TH AVE S,COMMERCIAL,ADD/ALT,Plan Review,1400000,3/22/12,7/10/12,11/22/13,1/10/14,Permit Closed,,47.59982559,-122.3285187
6326551,Construction,2700 NE UNIVERSITY VILLAGE ST,COMMERCIAL,ADD/ALT,No plan review,15000,7/11/12,7/11/12,12/23/13,1/11/14,Permit Closed,,47.66196845,-122.2995315
6325165,Construction,325 9TH AVE,COMMERCIAL,ADD/ALT,Plan Review,3000,6/25/12,7/11/12,7/18/12,1/11/14,Permit Closed,,47.60399886,-122.3237836
6318836,Construction,1815 N 45TH ST,COMMERCIAL,ADD/ALT,Plan Review,15000,6/5/12,7/11/12,10/16/12,1/11/14,Permit Closed,,47.66113094,-122.3357334
6280129,Construction,6339 34TH AVE SW,COMMERCIAL,ADD/ALT,Plan Review,15000,5/3/12,7/11/12,12/10/12,1/11/14,Permit Closed,3012276,47.54539121,-122.3754526
6295760,Construction,3223 6TH AVE S,COMMERCIAL,ADD/ALT,Plan Review,80000,4/24/12,7/11/12,1/9/13,1/11/14,Permit Closed,,47.57460315,-122.326389
6310226,Construction,1660 HARBOR AVE SW,COMMERCIAL,ADD/ALT,Plan Review,50000,4/2/12,7/11/12,1/14/14,1/11/14,Permit Closed,3013237,47.58943405,-122.3806218
6327073,Construction,506 2ND AVE,COMMERCIAL,ADD/ALT,No plan review,7500,7/12/12,7/12/12,8/29/12,1/12/14,Permit Closed,,47.60198365,-122.3317546
6314495,Construction,1001 FAIRVIEW AVE N,COMMERCIAL,ADD/ALT,Plan Review,70000,6/6/12,7/12/12,9/10/12,1/12/14,Permit Closed,,47.62902532,-122.3317433
6315324,Construction,1057 S DIRECTOR ST,COMMERCIAL,ADD/ALT,Plan Review,9000,5/31/12,7/12/12,3/6/13,1/12/14,Permit Closed,,47.52153853,-122.3179245
6318421,Construction,351 ELLIOTT AVE W,COMMERCIAL,ADD/ALT,Plan Review,160000,5/30/12,7/12/12,11/19/12,1/12/14,Permit Closed,,47.62175207,-122.3631431
6299484,Construction,224 BROADWAY E,COMMERCIAL,ADD/ALT,Plan Review,1041865,3/29/12,7/12/12,11/21/12,1/12/14,Permit Closed,,47.62084605,-122.320556
6324347,Construction,900 4TH AVE,COMMERCIAL,ALTER,Plan Review,1257260,6/18/12,7/12/12,12/12/12,1/12/14,Permit Closed,,47.60587719,-122.3320497
6323333,Construction,601 UNION ST,COMMERCIAL,ALTER,Plan Review,672605,6/8/12,7/12/12,10/1/12,1/12/14,Permit Closed,,47.610431,-122.3320769
6323762,Construction,2001 6TH AVE,COMMERCIAL,ALTER,Plan Review,312274,6/12/12,7/12/12,9/28/12,1/12/14,Permit Closed,,47.6143853,-122.3387266
6320917,Construction,2004 1ST AVE,COMMERCIAL,ADD/ALT,No plan review,70000,7/13/12,7/13/12,9/11/12,1/13/14,Permit Closed,,47.61146142,-122.3426554
6327282,Construction,2711 ALASKAN WAY,COMMERCIAL,ADD/ALT,No plan review,28500,7/13/12,7/13/12,9/19/12,1/13/14,Permit Closed,,47.61400512,-122.3537623
6327179,Construction,5840 AIRPORT WAY S,COMMERCIAL,ADD/ALT,No plan review,9000,7/13/12,7/13/12,,1/13/14,Permit Closed,,47.55066495,-122.3178879
6319512,Construction,301 NE NORTHGATE WAY,COMMERCIAL,ADD/ALT,Plan Review,750000,6/4/12,7/13/12,10/16/12,1/13/14,Permit Closed,,47.70619241,-122.3258761
6318591,Construction,5247 UNIVERSITY WAY NE,COMMERCIAL,ADD/ALT,Plan Review,6000,6/1/12,7/13/12,5/15/13,1/13/14,Permit Closed,,47.6678545,-122.3134792
6277604,Construction,510 22ND AVE,COMMERCIAL,ADD/ALT,Plan Review,1000,5/30/12,7/13/12,10/11/13,1/13/14,Permit Closed,,47.60655436,-122.3036408
6316105,Demolition,1100 DENNY WAY,COMMERCIAL,DEMOLITION,No plan review,1,7/13/12,7/13/12,8/24/12,1/13/14,Permit Closed,,47.61879418,-122.3356648
6327187,Demolition,1000 NE 135TH ST,COMMERCIAL,DEMOLITION,No plan review,1,7/13/12,7/13/12,11/5/13,1/13/14,Permit Closed,,47.72859378,-122.3166394
6318632,Demolition,1000 NE 135TH ST,COMMERCIAL,DEMOLITION,No plan review,1,7/13/12,7/13/12,8/6/12,1/13/14,Permit Closed,,47.72859378,-122.3166394
6314126,Demolition,2555 13TH AVE SW,COMMERCIAL,DEMOLITION,Plan Review,1,3/23/12,7/13/12,1/25/13,1/13/14,Permit Closed,3013035,47.58021142,-122.3527982
6314128,Site Development,2555 13TH AVE SW,COMMERCIAL,GRADING,Plan Review,1,3/23/12,7/13/12,1/25/13,1/13/14,AP Closed,3013035,47.58021142,-122.3527982
6327389,Construction,6111 13TH AVE S,COMMERCIAL,ADD/ALT,No plan review,40000,7/16/12,7/16/12,10/4/12,1/16/14,Permit Closed,,47.54817918,-122.3164688
6318772,Construction,815 MERCER ST,COMMERCIAL,ADD/ALT,Plan Review,430000,6/20/12,7/16/12,1/2/13,1/16/14,Permit Closed,,47.62405246,-122.3403789
6275472,Construction,4831 35TH AVE SW,COMMERCIAL,ADD/ALT,Plan Review,15000,4/12/12,7/16/12,12/10/12,1/16/14,Permit Closed,3012091,47.5583802,-122.3775257
6327634,Construction,1301 5TH AVE,COMMERCIAL,ADD/ALT,No plan review,40000,7/17/12,7/17/12,8/16/12,1/17/14,Permit Closed,,47.60896713,-122.3348214
6327636,Construction,1301 5TH AVE,COMMERCIAL,ADD/ALT,No plan review,7000,7/17/12,7/17/12,8/22/12,1/17/14,Permit Closed,,47.60896713,-122.3348214
6327581,Construction,1326 5TH AVE,COMMERCIAL,ADD/ALT,No plan review,150000,7/17/12,7/17/12,10/25/12,1/17/14,Permit Closed,,47.60932305,-122.3338985
6327573,Construction,2135 QUEEN ANNE AVE N,COMMERCIAL,ADD/ALT,No plan review,30000,7/17/12,7/17/12,9/6/12,1/17/14,Permit Closed,,47.63821345,-122.3572744
6327560,Construction,661 S ANDOVER ST,COMMERCIAL,ADD/ALT,No plan review,20000,7/17/12,7/17/12,,1/17/14,Permit Closed,,47.56790143,-122.3245482
6327470,Construction,535 TERRY AVE N,COMMERCIAL,ADD/ALT,No plan review,5000,7/17/12,7/17/12,8/22/12,1/17/14,Permit Closed,,47.62402492,-122.3375668
6327458,Construction,440 TERRY AVE N,COMMERCIAL,ADD/ALT,No plan review,7500,7/17/12,7/17/12,8/22/12,1/17/14,Permit Closed,,47.62296493,-122.3362166
6320352,Construction,1000 1ST AVE S,COMMERCIAL,ADD/ALT,Plan Review,675000,6/18/12,7/17/12,10/8/12,1/17/14,Permit Closed,,47.59403763,-122.3336888
6309863,Construction,7511 LAKE CITY WAY NE,COMMERCIAL,ADD/ALT,Plan Review,74850,6/7/12,7/17/12,4/12/13,1/17/14,Permit Closed,,47.68353695,-122.3169442
6275441,Construction,5705 PHINNEY AVE N,COMMERCIAL,ADD/ALT,Plan Review,15000,4/23/12,7/17/12,4/17/13,1/17/14,Permit Closed,3012094,47.67074497,-122.3549252
6312308,Construction,3844 1ST AVE S,COMMERCIAL,ADD/ALT,Plan Review,244000,3/7/12,7/17/12,4/11/13,1/17/14,Permit Closed,,47.56874517,-122.3330438
6325166,Construction,1001 4TH AVE,COMMERCIAL,ALTER,Plan Review,85000,6/25/12,7/17/12,10/1/12,1/17/14,Permit Closed,,47.60615304,-122.333894
6325593,Construction,1601 5TH AVE,COMMERCIAL,ALTER,Plan Review,500000,6/28/12,7/17/12,1/28/13,1/17/14,Permit Closed,,47.61192997,-122.3371863
6316584,Site Development,7400 SAND POINT WAY NE,COMMERCIAL,GRADING,Plan Review,500000,4/23/12,7/17/12,,1/17/14,Permit Issued,3010260,47.68213081,-122.2633157
6270926,Construction,4550 11TH AVE NE,COMMERCIAL,NEW,Plan Review,17326115,12/2/11,7/17/12,11/7/14,7/17/15,Permit Closed,3011958,47.66281648,-122.3160989
6282508,Construction,801 DEXTER AVE N,COMMERCIAL,NEW,Plan Review,30225185,2/16/12,7/17/12,4/28/14,7/17/15,Permit Closed,3012351,47.62666404,-122.3426657
6327829,Construction,1111 FAIRVIEW AVE N,COMMERCIAL,ADD/ALT,No plan review,100000,7/18/12,7/18/12,8/27/12,1/18/14,Permit Closed,,47.62985239,-122.3304131
6307546,Construction,707 S SNOQUALMIE ST,COMMERCIAL,ADD/ALT,Plan Review,1000,6/22/12,7/18/12,8/14/12,1/18/14,Permit Closed,3012971,47.56166246,-122.3237167
6319583,Construction,2001 8TH AVE,COMMERCIAL,ADD/ALT,Plan Review,250000,6/13/12,7/18/12,9/28/12,1/18/14,Permit Closed,,47.61578904,-122.3372714
6301354,Construction,602 N 105TH ST,COMMERCIAL,ADD/ALT,Plan Review,30000,6/4/12,7/18/12,10/29/12,1/18/14,Permit Closed,3013025,47.70517666,-122.3509139
6285824,Construction,5500 PHINNEY AVE N,COMMERCIAL,ADD/ALT,Plan Review,1500000,3/14/12,7/18/12,4/18/13,1/18/14,Permit Closed,,47.66853804,-122.3537027
6325001,Construction,1536 N 115TH ST,COMMERCIAL,ALTER,Plan Review,403000,6/22/12,7/18/12,,1/18/14,Permit Issued,,47.71260184,-122.3378319
6308339,Construction,2155 S JUDKINS ST,COMMERCIAL,NEW,Plan Review,285000,4/18/12,7/18/12,1/8/14,1/18/14,Permit Closed,3013176,47.59162524,-122.3041117
6283231,Construction,120 6TH AVE N,COMMERCIAL,NEW,Plan Review,7047786,4/16/12,7/18/12,6/12/13,1/18/14,Permit Closed,3012794,47.61952595,-122.344638
6320386,Construction,1100 9TH AVE,COMMERCIAL,ADD/ALT,Plan Review,529677,6/25/12,7/19/12,12/12/13,1/19/14,Permit Closed,,47.60953613,-122.3279447
6319524,Construction,5410 BALLARD AVE NW,COMMERCIAL,ADD/ALT,Plan Review,215000,6/14/12,7/19/12,3/28/13,1/19/14,Permit Closed,,47.66800241,-122.3850193
6312713,Construction,8538 1ST AVE NW,COMMERCIAL,ADD/ALT,Plan Review,350000,5/16/12,7/19/12,2/25/13,1/19/14,Permit Closed,,47.69159213,-122.3573319
6315979,Construction,11007 5TH AVE NE,COMMERCIAL,ADD/ALT,Plan Review,300000,5/7/12,7/19/12,7/10/14,7/19/15,Permit Closed,,47.70913197,-122.3241372
6276862,Construction,3614 CALIFORNIA AVE SW,COMMERCIAL,ADD/ALT,Plan Review,30000,9/27/11,7/19/12,10/29/12,1/19/14,Permit Closed,,47.57144209,-122.3864136
6328134,Construction,401 NE NORTHGATE WAY,COMMERCIAL,ADD/ALT,No plan review,50000,7/20/12,7/20/12,9/5/12,1/20/14,Permit Closed,,47.70825431,-122.3237834
6324059,Construction,422 YALE AVE N,COMMERCIAL,ADD/ALT,No plan review,25000,7/20/12,7/20/12,10/4/12,1/20/14,Permit Closed,,47.62263501,-122.3301984
6326429,Construction,1024 E PIKE ST,COMMERCIAL,ADD/ALT,Plan Review,20000,7/9/12,7/20/12,9/10/12,1/20/14,Permit Closed,,47.614351,-122.318437
6321147,Construction,1700 1ST AVE S,COMMERCIAL,ADD/ALT,Plan Review,75000,6/26/12,7/20/12,8/16/12,1/20/14,Permit Closed,,47.58788018,-122.3336684
6319438,Construction,3210 BEACON AVE S,COMMERCIAL,ADD/ALT,Plan Review,10000,6/14/12,7/20/12,7/30/13,1/20/14,Permit Closed,,47.57473316,-122.3089056
6317345,Construction,500 MERCER ST,COMMERCIAL,ADD/ALT,Plan Review,60000,5/11/12,7/20/12,9/11/12,1/20/14,Permit Closed,,47.62473655,-122.3472847
6327975,Construction,1949 FAIRVIEW AVE E,COMMERCIAL,ADD/ALT,No plan review,1,7/23/12,7/23/12,,1/23/17,Permit Issued,,47.63633414,-122.3291954
6312751,Construction,850 REPUBLICAN ST,COMMERCIAL,ADD/ALT,Plan Review,100500,6/29/12,7/23/12,1/2/13,1/23/14,Permit Closed,,47.62405246,-122.3403789
6318294,Construction,510 E PINE ST,COMMERCIAL,ADD/ALT,Plan Review,400000,6/1/12,7/23/12,12/17/12,1/23/14,Permit Closed,,47.61538382,-122.3250568
6308733,Construction,701 5TH AVE,COMMERCIAL,ADD/ALT,Plan Review,1200000,4/27/12,7/23/12,11/9/12,1/23/14,Permit Closed,,47.60454089,-122.3307351
6297669,Construction,4515 M L KING JR WAY S,COMMERCIAL,ADD/ALT,Plan Review,15000,4/9/12,7/23/12,2/20/13,1/23/14,Permit Closed,3013280,47.56224981,-122.2946507
6325365,Construction,600 UNIVERSITY ST,COMMERCIAL,ALTER,Plan Review,172388,6/26/12,7/23/12,8/27/12,1/23/14,Permit Closed,,47.60967252,-122.3323065
6324869,Construction,568 1ST AVE S,COMMERCIAL,ALTER,Plan Review,29000,6/21/12,7/23/12,8/30/12,1/23/14,Permit Closed,,47.59639784,-122.3336986
6323381,Demolition,5043 BROOKLYN AVE NE,COMMERCIAL,DEMOLITION,No plan review,1,6/11/12,7/23/12,9/28/12,1/23/14,Permit Closed,3012186,47.66615602,-122.3145442
6327764,Demolition,1801 FAIRVIEW AVE E,COMMERCIAL,DEMOLITION,No plan review,1,7/23/12,7/23/12,,1/23/17,Permit Issued,,47.63490222,-122.3275812
6328518,Construction,201 ELLIOTT AVE W,COMMERCIAL,ADD/ALT,No plan review,95000,7/24/12,7/24/12,11/2/12,1/24/14,Permit Closed,,47.61972412,-122.3603446
6328020,Construction,4045 7TH AVE S,COMMERCIAL,ADD/ALT,No plan review,29000,7/24/12,7/24/12,,1/24/14,Permit Closed,,47.56773824,-122.3243849
6328443,Construction,12318 15TH AVE NE,COMMERCIAL,ADD/ALT,No plan review,20000,7/24/12,7/24/12,,1/24/14,Permit Closed,,47.71864531,-122.3120176
6327539,Construction,1932 1ST AVE,COMMERCIAL,ADD/ALT,Plan Review,185000,7/17/12,7/24/12,10/8/12,1/24/14,Permit Closed,,47.61108861,-122.3421831
6324278,Construction,408 NE 70TH ST,COMMERCIAL,ADD/ALT,Plan Review,35000,7/13/12,7/24/12,11/8/12,1/24/14,Permit Closed,,47.67931874,-122.3243272
6324172,Construction,900 4TH AVE,COMMERCIAL,ADD/ALT,Plan Review,15000,7/2/12,7/24/12,12/12/12,1/24/14,Permit Closed,,47.60587719,-122.3320497
6322922,Construction,4500 25TH AVE NE,COMMERCIAL,ADD/ALT,Plan Review,90000,6/26/12,7/24/12,10/5/12,1/24/14,Permit Closed,,47.66265625,-122.2983352
6320128,Construction,4201 15TH AVE NE,COMMERCIAL,ADD/ALT,Plan Review,40000,6/1/12,7/24/12,12/17/12,1/24/14,Permit Closed,,47.65860779,-122.312412
6316412,Construction,3670 STONE WAY N,COMMERCIAL,ADD/ALT,Plan Review,350000,5/16/12,7/24/12,11/16/12,1/24/14,Permit Closed,,47.65231213,-122.3421811
6311960,Construction,1501 E MADISON ST,COMMERCIAL,ADD/ALT,Plan Review,100000,5/10/12,7/24/12,10/15/13,1/24/14,Permit Closed,,47.61432844,-122.3125867
6283082,Construction,750 HARRISON ST,COMMERCIAL,ADD/ALT,Plan Review,75000,6/23/11,7/24/12,,7/24/15,Permit Issued,,47.6223157,-122.3419568
6324442,Construction,1600 7TH AVE,COMMERCIAL,ALTER,Plan Review,1500000,6/18/12,7/24/12,12/31/12,1/24/14,Permit Closed,,47.61317008,-122.3343173
6326084,Construction,1932 1ST AVE,COMMERCIAL,ALTER,Plan Review,200000,7/3/12,7/24/12,11/29/12,1/24/14,Permit Closed,,47.61108861,-122.3421831
6328671,Construction,9709 3RD AVE NE,COMMERCIAL,ADD/ALT,No plan review,35000,7/25/12,7/25/12,9/19/12,1/25/14,Permit Closed,,47.69917859,-122.3268184
6323234,Construction,5300 WILSON AVE S,COMMERCIAL,ADD/ALT,Plan Review,1000,7/6/12,7/25/12,,1/25/14,Permit Issued,,47.55398014,-122.2688023
6324570,Construction,1100 E UNION ST,COMMERCIAL,ADD/ALT,Plan Review,25000,6/28/12,7/25/12,10/8/12,1/25/14,Permit Closed,,47.61310152,-122.3177164
6323995,Construction,911 PINE ST,COMMERCIAL,ADD/ALT,Plan Review,20000,6/25/12,7/25/12,,7/25/15,Permit Issued,,47.61327172,-122.3313776
6324669,Construction,1111 ELLIOTT AVE W,COMMERCIAL,ADD/ALT,Plan Review,10000,6/20/12,7/25/12,4/25/14,7/25/15,Permit Closed,,47.62863802,-122.3717759
6314584,Construction,424 2ND AVE W,COMMERCIAL,ADD/ALT,Plan Review,1520410,4/26/12,7/25/12,4/29/13,1/25/14,Permit Closed,,47.6229531,-122.3589714
6302349,Construction,7701 13TH AVE SW,COMMERCIAL,ADD/ALT,Plan Review,15000,11/29/11,7/25/12,10/16/12,1/25/14,Permit Closed,3012090,47.53416117,-122.3520353
6326568,Construction,505 1ST AVE S,COMMERCIAL,ALTER,Plan Review,1674000,7/9/12,7/25/12,10/31/12,1/25/14,Permit Closed,3005586,47.59767176,-122.3346883
6326103,Construction,1601 5TH AVE,COMMERCIAL,ALTER,Plan Review,275000,7/3/12,7/25/12,1/14/13,1/25/14,Permit Closed,,47.61192997,-122.3371863
6270913,Construction,4535 12TH AVE NE,COMMERCIAL,NEW,Plan Review,30470274,12/2/11,7/25/12,11/22/13,1/25/14,Permit Closed,3011958,47.66249098,-122.3156604
6314473,Construction,5400 EAST MARGINAL WAY S,COMMERCIAL,NEW,Plan Review,15917,6/7/12,7/25/12,9/17/12,1/25/14,Permit Closed,,47.55400495,-122.3369306
6267406,Construction,4910 LEARY AVE NW,COMMERCIAL,NO CONSTRUCTION,Plan Review,56000,5/17/12,7/25/12,,1/25/14,Permit Closed,,47.66449421,-122.379195
6328811,Construction,2200 WESTLAKE AVE,COMMERCIAL,ADD/ALT,No plan review,3500,7/26/12,7/26/12,8/8/12,1/26/14,Permit Closed,,47.61783173,-122.3372997
6328768,Construction,701 N 34TH ST,COMMERCIAL,ADD/ALT,No plan review,39000,7/26/12,7/26/12,,1/26/14,Permit Closed,,47.6488239,-122.3490654
6326210,Construction,13500 AURORA AVE N,COMMERCIAL,ADD/ALT,Plan Review,1000,7/17/12,7/26/12,8/1/12,1/26/14,Permit Closed,,47.72803389,-122.3421574
6299169,Construction,2700 RAINIER AVE S,COMMERCIAL,ADD/ALT,Plan Review,1500000,4/11/12,7/26/12,1/31/14,7/26/15,Permit Closed,,47.57936124,-122.2974552
6326315,Construction,600 UNIVERSITY ST,COMMERCIAL,ALTER,Plan Review,31900,7/5/12,7/26/12,7/10/13,1/26/14,Permit Closed,,47.60967252,-122.3323065
6326610,Construction,645 ELLIOTT AVE W,COMMERCIAL,ALTER,Plan Review,244030,7/9/12,7/26/12,9/18/12,1/26/14,Permit Closed,,47.62520732,-122.3673847
6325921,Construction,1001 3RD AVE,COMMERCIAL,ALTER,Plan Review,266240,7/2/12,7/26/12,1/24/13,1/26/14,Permit Closed,,47.60582637,-122.3346527
6309552,Construction,2729 6TH AVE S,COMMERCIAL,NEW,Plan Review,1943488,3/6/12,7/26/12,11/22/13,1/26/14,Permit Closed,3012734,47.57903312,-122.3270898
6329025,Construction,3131 WESTERN AVE,COMMERCIAL,ADD/ALT,No plan review,4000,7/27/12,7/27/12,11/13/12,1/27/14,Permit Closed,,47.6182108,-122.3575975
6328814,Construction,945 ELLIOTT AVE W,COMMERCIAL,ADD/ALT,No plan review,35000,7/27/12,7/27/12,2/3/14,1/27/14,Permit Closed,,47.6274241,-122.3704172
6328994,Construction,8202 GREENWOOD AVE N,COMMERCIAL,ADD/ALT,No plan review,10000,7/27/12,7/27/12,10/12/12,1/27/14,Permit Closed,,47.68857966,-122.3550486
6317155,Construction,2930 WESTLAKE AVE N,COMMERCIAL,ADD/ALT,Plan Review,170880,5/16/12,7/27/12,,1/27/14,Permit Closed,,47.64642453,-122.3489519
6313244,Construction,401 BROADWAY E,COMMERCIAL,ADD/ALT,Plan Review,265000,4/17/12,7/27/12,3/5/13,1/27/14,Permit Closed,,47.62256702,-122.3215135
6307879,Construction,1711 13TH AVE SW,COMMERCIAL,ADD/ALT,Plan Review,250000,4/4/12,7/27/12,4/16/14,1/27/14,Permit Closed,3012602,47.58697897,-122.3528045
6329186,Construction,305 HARRISON ST,COMMERCIAL,ADD/ALT,No plan review,40000,7/30/12,7/30/12,9/5/12,1/30/14,Permit Closed,,47.62208508,-122.3539963
6329181,Construction,1507 WESTERN AVE,COMMERCIAL,ADD/ALT,No plan review,5000,7/30/12,7/30/12,8/27/12,1/30/14,Permit Closed,,47.60846856,-122.3416857
6325779,Construction,1633 WESTLAKE AVE N,COMMERCIAL,ADD/ALT,No plan review,200000,7/30/12,7/30/12,11/14/12,1/30/14,Permit Closed,,47.63347599,-122.3407931
6329156,Construction,333 BOREN AVE N,COMMERCIAL,ADD/ALT,No plan review,15000,7/30/12,7/30/12,9/17/12,1/30/14,Permit Closed,,47.62113072,-122.3363095
6318046,Construction,2660 NE VILLAGE LN,COMMERCIAL,ADD/ALT,Plan Review,363000,5/25/12,7/30/12,10/12/12,1/30/14,Permit Closed,,47.66265625,-122.2983352
6325584,Construction,2201 6TH AVE,COMMERCIAL,ALTER,Plan Review,124431,6/28/12,7/30/12,11/2/12,1/30/14,Permit Closed,,47.61599976,-122.3416694
6329140,Demolition,2025 AIRPORT WAY S,COMMERCIAL,DEMOLITION,No plan review,1,7/30/12,7/30/12,9/17/12,1/30/14,Permit Closed,3012412,47.584308,-122.3223063
6329387,Construction,201 S WASHINGTON ST,COMMERCIAL,ADD/ALT,No plan review,15000,7/31/12,7/31/12,10/16/12,1/31/14,Permit Closed,,47.60070701,-122.3313464
6329315,Construction,600 PINE ST,COMMERCIAL,ADD/ALT,No plan review,40000,7/31/12,7/31/12,10/18/12,1/31/14,Permit Closed,,47.61289807,-122.3353276
6291662,Construction,2510 4TH AVE,COMMERCIAL,ADD/ALT,Plan Review,30000,7/2/12,7/31/12,10/17/12,1/31/14,Permit Closed,,47.61706951,-122.3462574
6319497,Construction,2312 3RD AVE,COMMERCIAL,ADD/ALT,Plan Review,44000,7/2/12,7/31/12,9/7/12,1/31/14,Permit Closed,,47.61534277,-122.3451604
6305751,Construction,1617 POST AL,COMMERCIAL,ADD/ALT,Plan Review,180000,4/13/12,7/31/12,1/11/13,1/31/14,Permit Closed,,47.60970284,-122.3417834
6326177,Construction,1201 4TH AVE,COMMERCIAL,ALTER,Plan Review,309000,7/3/12,7/31/12,8/30/12,1/31/14,Permit Closed,,47.60765132,-122.3348139
6326903,Construction,1425 4TH AVE,COMMERCIAL,ALTER,Plan Review,30000,7/11/12,7/31/12,2/6/13,1/31/14,Permit Closed,,47.60992037,-122.3368814
6329546,Construction,800 5TH AVE,COMMERCIAL,ADD/ALT,No plan review,45000,8/1/12,8/1/12,3/7/13,2/1/14,Permit Closed,,47.60573523,-122.3302935
6329514,Construction,506 2ND AVE,COMMERCIAL,ADD/ALT,No plan review,75000,8/1/12,8/1/12,9/5/12,2/1/14,Permit Closed,,47.60198365,-122.3317546
6327693,Construction,8704 GREENWOOD AVE N,COMMERCIAL,ADD/ALT,No plan review,25000,8/1/12,8/1/12,3/20/13,2/1/14,Permit Closed,,47.69267843,-122.3550768
6277123,Construction,3803 S EDMUNDS ST,COMMERCIAL,ADD/ALT,Plan Review,15000,7/11/12,8/1/12,12/6/12,2/1/14,Permit Closed,3013279,47.55853783,-122.2851343
6323339,Construction,9005 ROOSEVELT WAY NE,COMMERCIAL,ADD/ALT,Plan Review,16352,6/20/12,8/1/12,9/11/12,2/1/14,Permit Closed,,47.69422568,-122.3180799
6301116,Construction,8526 ROOSEVELT WAY NE,COMMERCIAL,ADD/ALT,Plan Review,2500000,4/12/12,8/1/12,4/29/15,2/1/14,Permit Closed,3012863,47.69112338,-122.3174098
6313706,Construction,2137 N NORTHGATE WAY,COMMERCIAL,ADD/ALT,Plan Review,170000,4/11/12,8/1/12,12/12/12,2/1/14,Permit Closed,,47.70832557,-122.33224
6276964,Construction,9701 SAND POINT WAY NE,COMMERCIAL,ADD/ALT,Plan Review,20000,7/26/11,8/1/12,,2/1/14,Permit Closed,3012175,47.69958566,-122.2779618
6327611,Construction,919 4TH AVE,COMMERCIAL,ALTER,Plan Review,8000,7/17/12,8/1/12,9/19/12,2/1/14,Permit Closed,,47.60549679,-122.3332089
6301745,Construction,4502 42ND AVE SW,COMMERCIAL,NEW,Plan Review,17645135,1/4/12,8/1/12,5/27/14,8/1/15,Permit Closed,3012364,47.56271821,-122.3851759
6324508,Construction,315 W NICKERSON ST,COMMERCIAL,NO CONSTRUCTION,Plan Review,1,7/13/12,8/1/12,12/4/12,2/1/14,Permit Closed,,47.65059258,-122.3616223
6329750,Construction,500 PINE ST,COMMERCIAL,ADD/ALT,No plan review,20000,8/2/12,8/2/12,2/28/14,8/2/15,Permit Closed,,47.61229918,-122.3363018
6323372,Construction,500 5TH AVE N,COMMERCIAL,ADD/ALT,Plan Review,325000,7/11/12,8/2/12,10/8/12,2/2/14,Permit Closed,,47.62419713,-122.3444451
6324634,Construction,2901 NE BLAKELEY ST,COMMERCIAL,ADD/ALT,Plan Review,35000,7/11/12,8/2/12,10/31/12,2/2/14,Permit Closed,,47.66582251,-122.2970461
